Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785144664,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785144665,10,,Aggregated,0.000000,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,302.4157000472769,498.613750009099,302.4157000472769,694.8117999709211,194.5
1785144666,20,,Aggregated,0.000000,0.000000,1300,1300,1700,1700,2000,2000,2000,2000,2000,2000,2000,6,0,1000,1162.0055333478376,302.4157000472769,1981.8246000213549,194.16666666666666
1785144667,40,,Aggregated,0.000000,0.000000,1700,2000,2000,2400,2700,2700,2700,2700,2700,2700,2700,9,0,1700,1565.2345111270229,302.4157000472769,2700.351800012868,193.88888888888889
1785144668,50,,Aggregated,1.500000,0.000000,2000,2400,2600,2600,2700,3500,3500,3500,3500,3500,3500,11,0,2000,1832.6634091049941,302.4157000472769,3482.615099987015,193.63636363636363
1785144669,50,,Aggregated,2.000000,0.000000,2400,2700,3500,3800,4300,4500,4500,4500,4500,4500,4500,15,0,2400,2417.982213338837,302.4157000472769,4529.205299972091,192.46666666666667
1785144670,50,,Aggregated,2.250000,0.000000,2700,3500,4100,4300,4500,4600,4600,4600,4600,4600,4600,18,0,2600,2749.2776888927133,302.4157000472769,4567.309600010049,190.61111111111111
1785144671,50,,Aggregated,2.200000,0.000000,3400,4100,4500,4500,4600,5000,5400,5400,5400,5400,5400,21,0,3400,3064.64899048054,302.4157000472769,5387.34250003472,191.8095238095238
1785144672,50,,Aggregated,2.500000,0.000000,3800,4500,4600,5400,6000,6100,6600,6600,6600,6600,6600,25,0,3800,3542.5695480033755,302.4157000472769,6608.481200004462,190.88
1785144673,50,,Aggregated,2.571429,0.000000,4300,4600,5500,6000,6800,7200,8000,8000,8000,8000,8000,28,0,4100,3947.952835714594,302.4157000472769,8048.452799965162,191.85714285714286
1785144674,50,,Aggregated,2.750000,0.000000,4500,5500,6600,6800,7600,8000,8200,8200,8200,8200,8200,32,0,4500,4432.138756248605,302.4157000472769,8244.810800009873,192.09375
1785144675,50,,Aggregated,2.777778,0.000000,4500,6000,6800,7400,8000,8200,8800,8800,8800,8800,8800,34,0,4500,4660.059138233705,302.4157000472769,8807.170399988536,192.08823529411765
1785144676,50,,Aggregated,2.800000,0.000000,4600,6600,7400,7800,8200,9000,9600,9600,9600,9600,9600,37,0,4600,5005.421854052189,302.4157000472769,9614.43270003656,192.51351351351352
1785144677,50,,Aggregated,3.200000,0.000000,5400,7400,8000,8200,9400,9600,11000,11000,11000,11000,11000,41,0,5400,5494.540973170377,302.4157000472769,10751.803899998777,192.82926829268294
1785144678,50,,Aggregated,3.100000,0.000000,6000,7800,8200,9400,10000,10000,11000,11000,11000,11000,11000,45,0,6000,5917.98602444275,302.4157000472769,11014.288400008809,192.84444444444443
1785144679,50,,Aggregated,3.100000,0.000000,6100,8000,9000,9600,10000,11000,11000,11000,11000,11000,11000,47,0,6100,6133.0366595722535,302.4157000472769,11444.82799997786,192.95744680851064
1785144680,50,,Aggregated,3.200000,0.000000,6800,8200,9600,10000,11000,12000,12000,13000,13000,13000,13000,51,0,6800,6596.028235291277,302.4157000472769,12828.933599987067,192.84313725490196
1785144681,50,,Aggregated,3.400000,0.000000,7200,8800,9600,10000,11000,13000,13000,14000,14000,14000,14000,53,0,7200,6847.357960375035,302.4157000472769,13740.876100026071,192.56603773584905
1785144682,50,,Aggregated,3.200000,0.000000,7600,9600,10000,11000,12000,14000,14000,14000,14000,14000,14000,57,0,7600,7289.900012278578,302.4157000472769,14305.037999991328,193.05263157894737
1785144684,50,,Aggregated,3.300000,0.000000,8000,9600,11000,11000,13000,14000,15000,16000,16000,16000,16000,60,0,7800,7613.570943332161,302.4157000472769,15535.165200009942,192.25
1785144685,50,,Aggregated,3.100000,0.000000,8200,10000,11000,12000,14000,15000,16000,16000,16000,16000,16000,64,0,8000,7967.885332810511,302.4157000472769,15850.770699966233,192.15625
1785144686,50,,Aggregated,3.200000,0.000000,8800,10000,11000,12000,15000,16000,17000,17000,17000,17000,17000,69,0,8800,8419.321328984486,302.4157000472769,17136.489500000607,191.55072463768116
1785144687,50,,Aggregated,3.200000,0.000000,9000,11000,11000,12000,15000,17000,17000,17000,17000,17000,17000,71,0,9000,8572.17872957699,302.4157000472769,17142.40880002035,191.35211267605635
1785144688,50,,Aggregated,3.200000,0.000000,9400,11000,11000,12000,15000,17000,17000,18000,18000,18000,18000,73,0,9400,8712.22717808129,302.4157000472769,17629.552599973977,191.3972602739726
1785144689,50,,Aggregated,3.400000,0.000000,9700,11000,12000,13000,16000,17000,18000,18000,18000,18000,18000,80,0,9600,9075.247337499604,302.4157000472769,17916.39430000214,190.2625
1785144690,50,,Aggregated,3.400000,0.000000,9700,11000,12000,13000,17000,17000,18000,18000,18000,18000,18000,83,0,9700,9277.619657830437,302.4157000472769,18337.832299992442,190.67469879518072
1785144691,50,,Aggregated,3.300000,0.000000,9700,11000,12000,13000,17000,18000,18000,18000,18000,18000,18000,86,0,9600,9364.598070928518,302.4157000472769,18439.551199960988,190.8139534883721
1785144692,50,,Aggregated,3.600000,0.000000,9700,11000,12000,14000,17000,18000,18000,19000,19000,19000,19000,91,0,9700,9592.578342856052,302.4157000472769,18701.076400000602,190.3956043956044
1785144693,50,,Aggregated,3.600000,0.000000,10000,11000,12000,14000,17000,18000,19000,19000,19000,19000,19000,94,0,9700,9781.75237340273,302.4157000472769,18941.671899985522,190.41489361702128
1785144694,50,,Aggregated,3.700000,0.000000,10000,11000,13000,15000,18000,18000,19000,19000,19000,19000,19000,98,0,9700,9941.21935407985,302.4157000472769,18941.671899985522,190.75510204081633
1785144695,50,,Aggregated,3.700000,0.000000,9700,11000,13000,15000,18000,18000,19000,19000,19000,19000,19000,101,0,9700,9995.257257424539,302.4157000472769,18941.671899985522,190.87128712871288
1785144696,50,,Aggregated,3.700000,0.000000,9700,11000,13000,15000,18000,18000,19000,19000,19000,19000,19000,103,0,9700,10071.89370582425,302.4157000472769,18941.671899985522,190.9126213592233
1785144697,50,,Aggregated,3.700000,0.000000,10000,12000,14000,16000,18000,18000,19000,19000,22000,22000,22000,108,0,9700,10298.446222220837,302.4157000472769,21752.062399988063,190.38888888888889
1785144698,50,,Aggregated,3.700000,0.000000,10000,12000,14000,17000,18000,18000,19000,19000,22000,22000,22000,110,0,9700,10357.751747271554,302.4157000472769,21752.062399988063,190.6090909090909
1785144699,50,,Aggregated,3.400000,0.000000,10000,12000,14000,17000,18000,19000,19000,19000,22000,22000,22000,114,0,9700,10484.28421666623,302.4157000472769,21752.062399988063,190.60526315789474
1785144700,50,,Aggregated,3.400000,0.000000,10000,12000,15000,17000,18000,19000,19000,19000,22000,22000,22000,116,0,9800,10551.407268103252,302.4157000472769,21752.062399988063,190.69827586206895
1785144701,50,,Aggregated,3.400000,0.000000,10000,12000,15000,17000,18000,19000,19000,20000,22000,22000,22000,121,0,10000,10708.650252065518,302.4157000472769,21752.062399988063,190.4214876033058
